substance_nmbr,name,casrn,iris_url
1012,"Thallium (I), soluble salts",Various,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1012
1017,Chlordecone (Kepone),143-50-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1017
1018,Cerium Oxide and Cerium Compounds,1306-38-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1018
1019,2-Hexanone,591-78-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1019
1020,Bromobenzene,108-86-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1020
1021,Chloroprene,126-99-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1021
1022,Urea,57-13-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1022
1023,Tetrahydrofuran,109-99-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1023
1024,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",1746-01-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1024
1025,Ethylene oxide,75-21-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1025
1026,Libby Amphibole Asbestos,1318-09-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1026
1030,Diisobutyl phthalate (DIBP),84-69-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1030
1031,Diisononyl phthalate (DINP),28553-12-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1031
1033,Polycyclic aromatic hydrocarbon (PAH) mixtures,Various,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1033
1034,Ethyl Tertiary Butyl Ether (ETBE),637-92-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1034
1035,Hexabromocyclododecane (HBCD),3194-55-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1035
1036,tert-Butyl Alcohol (tBA),75-65-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1036
1037,"1,2,4-Trimethylbenzene",95-63-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1037
1038,"1,3,5-Trimethylbenzene",108-67-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1038
1039,"1,2,3-Trimethylbenzene",526-73-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1039
